profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,56,2321,747,0.3218440327445067,10,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,147,4247,611,0.14386625853543678,99,False,False,True,False,3,7.68,14.0,5.0,2.34022790912908,5.476666666666667,0.7930115030699402,0.28,2.0,0.0,0.6782329983125268,0.45999999999999996,2.068804714441317,80254.20833333333,1466742.0,10.0,297334.1966967515,88407624525.30254,4.488933931906961,False
True,127,1764,1613,0.9143990929705216,64,False,False,False,False,0,341.48,1902.0,43.0,355.34257179985246,126268.34333333332,3.5392037192032646,6.72,50.0,0.0,10.22464343306569,104.54333333333334,3.1962933379948106,333885.0,836121.0,27637.0,224060.23398320528,50202988452.608696,0.5195885820643469,False
True,0,68,65,0.9558823529411765,1,False,False,False,False,0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
True,80,242,134,0.5537190082644629,80,False,False,False,False,0,7.44,25.0,2.0,5.831523528775878,34.00666666666667,2.169182451976892,0.16,3.0,0.0,0.6244997998398398,0.39,4.086590918520447,694503.0,6477346.0,8.0,1489131.609496038,2217512950400.2607,2.800965895966668,False
True,41,6129,5669,0.9249469734051232,5,False,False,True,False,1,447.6,565.0,308.0,101.47561283382329,10297.300000000001,-0.19957771038651145,53.2,120.0,19.0,39.46770831958704,1557.7,1.1217487889591258,5846505.5,10938516.0,1635026.0,4430279.345154171,19627375076099.668,0.16632001005014052,False
True,130,914,596,0.6520787746170679,14,False,False,True,False,1,131.66666666666666,145.0,124.0,11.590225767142472,134.33333333333331,0.6834931808621659,1.3333333333333333,3.0,0.0,1.5275252316519468,2.3333333333333335,0.3818017741606064,35648.5,43114.0,28183.0,10557.811349896341,111467380.5,0.0,False
True,8,1377,621,0.45098039215686275,17,False,False,False,False,2,83.23076923076923,111.0,49.0,19.588065440270196,383.6923076923077,-0.2876906844354057,3.769230769230769,17.0,0.0,5.035769490254132,25.358974358974358,1.689754979062612,2715882.4166666665,11414878.0,37.0,3472776.6335653313,12060177546637.355,1.425982222590799,False
True,143,3639,817,0.22451222863424017,60,False,False,False,False,14,27.545454545454547,39.0,15.0,7.865921895920864,61.872727272727275,-0.12418148084353801,0.09090909090909091,1.0,0.0,0.30151134457776363,0.0909090909090909,2.8460498941515415,858499.8,2539576.0,32.0,988721.1012199098,977569415997.5111,0.678379005448119,False
False,0,51,33,0.6470588235294118,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,0,102,38,0.37254901960784315,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,126,442,199,0.4502262443438914,45,False,False,False,False,0,35.68,74.0,12.0,13.177379607999965,173.64333333333332,0.6496170356696207,2.6,5.0,0.0,1.4433756729740645,2.0833333333333335,0.3054701294725883,144408.29166666666,598979.0,306.0,160292.93752308865,25693825819.7808,1.3019163948924983,False
