profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,True,2779,1848,0.664748,263,False,False,False,False,2,15.84,88,6,15.699469,246.473333,4.095775,0,0,0,0,0,0,115849.5,791622,46,242679.811866,58893491087.391304,1.852046,False
True,False,6761,50,0.007394,13,False,False,False,False,0,2.384615,8,0,2.501282,6.25641,1.073227,0,0,0,0,0,0,1020103.416667,9589611,10,2724137.047888,7420922655676.447,2.917962,False
True,False,7082,54,0.007624,7,False,False,False,False,0,4.285714,10,2,2.690371,7.238095,1.503277,0.142857,1,0,0.377964,0.142857,2.041241,17.833333,25,11,5.115336,26.166667,0.105483,False
True,True,3306,1723,0.521016,299,False,False,False,False,3,30.96,54,10,10.418253,108.54,-0.033861,0.32,2,0,0.556776,0.31,1.487759,753707.125,2349098,162927,627585.138416,393863105961.24457,1.011339,False
True,True,7115,126,0.017707,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,7265,1024,0.14093,20,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,7297,69,0.009455,11,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,6892,85,0.012331,5,False,False,False,False,0,10,16,5,4.84768,23.5,0.220819,1,3,0,1.414214,2,0.592927,1876695.25,4068177,418856,1693867.518559,2869187170429.5835,0.457401,False
False,False,85,50,0.581395,2,False,False,False,False,0,8,9,7,1.414214,2,0,0,0,0,0,0,0,429,429,429,NaN,NaN,0,False
True,False,6880,62,0.00901,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,159,200,1.25,4,False,False,True,False,1,78.25,98,63,14.614491,213.583333,0.50315,0.5,2,0,1,1,1.154701,8234747.333333,14251529,4485331,5263113.623123,27700365009902.336,0.644552,False
